Jogador,Plus-Minus (com anomalia),Plus-Minus (sem anomalia)
Anthony Davis,14.0,-18.666666666666668
Deandre Ayton,-13.0,0.375
Rudy Gobert,1.0,3.0
Jarrett Allen,2.0,2.6666666666666665
Jonas Valanciunas,-1.5,-2.5
Jusuf Nurkic,-10.0,-1.2
Jalen Smith,-3.0,-1.2
Aleksej Pokusevski,-1.5,-5.0
Santi Aldama,7.0,-18.666666666666668
Bam Adebayo,-13.0,-4.25
Dwight Powell,3.0,2.0
Blake Griffin,-6.0,7.8
Christian Koloko,-12.0,9.5
Kevon Looney,45.0,
JaVale McGee,2.0,2.642857142857143
Robin Lopez,-8.0,2.5714285714285716
