Jogador,Plus-Minus (com anomalia),Plus-Minus (sem anomalia)
Isaac Okoro,-17.0,2.6666666666666665
De'Andre Hunter,-17.0,8.0
RJ Barrett,-5.0,-7.0
Khris Middleton,4.0,29.0
Kyle Anderson,-7.0,0.625
Chris Duarte,-2.0,-4.25
Reggie Bullock,-4.0,3.4285714285714284
Nicolas Batum,-23.0,-0.6666666666666666
Marvin Bagley III,-26.0,6.666666666666667
Jeremy Sochan,-8.0,15.6
P.J. Tucker,-19.0,9.0
James Wiseman,-7.0,2.3333333333333335
Dario Saric,0.0,-1.4285714285714286
Jeff Green,-1.0,-20.5
Giannis Antetokounmpo,29.0,-7.0
Deni Avdija,-7.0,2.0
Cameron Johnson,-2.0,-4.333333333333333
Isaiah Livers,11.0,-3.0
R.J. Hampton,22.0,-2.7142857142857144
