Jogador,Plus-Minus (com anomalia),Plus-Minus (sem anomalia)
Dejounte Murray,-24.0,-4.5
Luka Doncic,4.0,2.5
Anthony Edwards,8.0,-1.25
Terrence Ross,-8.0,3.75
Bradley Beal,11.0,0.7142857142857143
Kevin Huerter,-5.0,-4.0
D'Angelo Russell,-13.0,-5.285714285714286
Alex Caruso,-29.0,-2.0
Devin Booker,3.0,-1.75
Derrick White,16.0,3.4
Cory Joseph,-9.0,3.0
Dennis Smith Jr.,-4.0,-3.6666666666666665
Collin Sexton,6.0,5.0
Malaki Branham,12.0,7.166666666666667
Pat Connaughton,-12.0,2.0
Isaiah Livers,6.0,-2.1666666666666665
Luke Kennard,2.0,-20.333333333333332
Edmond Sumner,-2.0,6.0
Jaden Springer,-29.0,15.0
