personName,position,fieldGoalsMade,fieldGoalsAttempted,fieldGoalsPercentage,threePointersMade,threePointersAttempted,threePointersPercentage,freeThrowsMade,freeThrowsAttempted,freeThrowsPercentage,reboundsOffensive,reboundsDefensive,reboundsTotal,assists,steals,blocks,turnovers,foulsPersonal,points,plusMinusPoints
AJ Griffin,"F, G",266,595,44.70588235294118,111,298,37.24832214765101,44,49,89.79591836734694,39,132,171,78,43,14,50,93,687,12
Aaron Brooks,G,661,1604,41.209476309226936,229,614,37.29641693811075,240,289,83.04498269896193,73,272,345,591,111,32,305,391,1791,118
Aaron Gordon,"F, C",1364,2517,54.191497814858955,204,635,32.125984251968504,570,857,66.51108518086347,501,973,1474,706,171,154,366,459,3502,1357
Aaron Harrison,G,24,92,26.08695652173913,12,55,21.818181818181817,19,31,61.29032258064516,8,34,42,16,15,2,7,39,79,-84
Aaron Holiday,G,92,220,41.81818181818181,36,88,40.909090909090914,27,32,84.375,25,49,74,89,37,12,36,79,247,17
Aaron Nesmith,"G, F",150,360,41.66666666666667,71,223,31.838565022421523,43,54,79.62962962962963,43,173,216,45,35,14,54,157,414,15
Abdel Nader,F,50,149,33.557046979865774,23,65,35.38461538461539,23,39,58.97435897435898,13,58,71,26,15,10,34,45,146,-109
Al Harrington,"F, C",626,1448,43.232044198895025,218,631,34.54833597464342,205,293,69.96587030716724,148,574,722,189,97,22,218,383,1675,295
Al Horford,"F, C",4274,8261,51.73707783561312,706,1833,38.51609383524277,975,1277,76.35082223962412,1329,4394,5723,2661,581,900,1052,1463,10229,2785
Al Jefferson,C,1431,2891,49.49844344517468,5,20,25.0,371,553,67.08860759493672,312,1329,1641,338,144,204,226,432,3238,-39
Al-Farouq Aminu,F,149,367,40.59945504087194,35,130,26.923076923076923,88,123,71.54471544715447,116,245,361,61,72,62,58,144,421,128
Alan Anderson,"G, F",389,925,42.05405405405405,157,458,34.27947598253275,174,219,79.45205479452055,71,308,379,164,104,16,122,295,1109,-109
Alec Burks,"G, F",740,1806,40.97452934662237,327,829,39.44511459589867,554,644,86.0248447204969,98,582,680,431,134,52,212,331,2361,-712
Alen Smailagic,C,31,67,46.26865671641791,7,23,30.434782608695656,18,25,72.0,16,27,43,17,6,9,16,25,87,-40
Alex Caruso,"F, G",485,1083,44.78301015697138,233,610,38.196721311475414,190,242,78.51239669421489,137,480,617,605,289,131,236,446,1393,313
Alex Len,C,462,908,50.881057268722465,88,260,33.84615384615385,191,297,64.3097643097643,227,427,654,128,47,102,136,293,1203,-295
Alex Poythress,F,40,81,49.382716049382715,9,23,39.130434782608695,18,29,62.06896551724138,29,47,76,17,4,10,13,47,107,-75
Alexis Ajinca,F,12,32,37.5,3,7,42.857142857142854,2,3,66.66666666666666,5,12,17,2,3,5,1,13,29,-7
Alfonzo McKinnie,"F, G",231,507,45.562130177514796,65,210,30.952380952380953,51,87,58.620689655172406,131,262,393,50,43,26,63,232,578,-137
Allen Crabbe,"G, F",526,1343,39.166046165301566,329,884,37.217194570135746,165,203,81.2807881773399,54,483,537,191,85,52,136,306,1546,-239
Alonzo Gee,"F, G",807,1916,42.11899791231733,159,490,32.44897959183673,490,632,77.53164556962025,293,740,1033,351,295,84,363,581,2263,-1097
Amar'e Stoudemire,C,104,179,58.10055865921788,0,1,0.0,40,59,67.79661016949152,27,57,84,8,9,4,15,50,248,-21
Amir Johnson,"F, C",462,796,58.040201005025125,37,109,33.94495412844037,136,221,61.53846153846154,296,575,871,278,103,145,171,425,1097,346
Anderson Varejao,C,766,1540,49.74025974025974,0,22,0.0,344,497,69.21529175050301,645,1291,1936,395,206,139,267,528,1876,-236
Andray Blatche,"C, F",667,1350,49.407407407407405,18,76,23.684210526315788,312,437,71.395881006865,281,526,807,197,161,92,233,329,1664,-4
Andre Drummond,C,4393,8089,54.308319940660155,15,118,12.711864406779661,1651,3448,47.882830626450115,3455,6569,10024,946,1015,1065,1445,2304,10452,-560
Andre Iguodala,"G, F",1594,3374,47.24362774155305,444,1349,32.91326908821349,543,878,61.84510250569476,404,1751,2155,1963,618,267,687,768,4175,3111
Andre Miller,G,611,1328,46.00903614457831,44,165,26.666666666666668,335,410,81.70731707317073,129,403,532,1025,151,27,382,324,1601,387
Andrei Kirilenko,F,82,165,49.696969696969695,1,5,20.0,64,123,52.03252032520326,57,97,154,73,41,19,55,66,229,-79
Andrew Bogut,C,749,1310,57.17557251908397,2,3,66.66666666666666,93,208,44.71153846153847,580,1644,2224,581,155,436,372,812,1593,1257
Andrew Bynum,C,85,203,41.87192118226601,0,0,0.0,32,42,76.19047619047619,47,79,126,27,6,28,30,28,202,-127
Andrew Wiggins,"F, G",1669,3574,46.698377168438725,497,1305,38.08429118773947,546,795,68.67924528301886,354,880,1234,575,246,207,397,597,4381,243
Andris Biedrins,"C, F",191,351,54.41595441595442,0,0,0.0,15,53,28.30188679245283,224,531,755,90,90,139,85,424,397,-427
Antawn Jamison,F,795,1920,41.40625,182,530,34.33962264150943,356,505,70.49504950495049,209,574,783,224,101,73,167,301,2128,-666
Ante Zizic,C,273,470,58.08510638297872,0,0,0.0,128,180,71.11111111111111,150,296,446,64,22,40,82,170,674,-105
Anthony Bennett,F,118,317,37.22397476340694,26,101,25.742574257425744,70,105,66.66666666666666,74,159,233,29,26,11,59,111,332,-151
Anthony Lamb,F,148,314,47.13375796178344,73,199,36.68341708542713,46,60,76.66666666666667,56,159,215,96,28,20,54,134,415,32
Anthony Morrow,"G, F",627,1452,43.18181818181818,238,603,39.46932006633499,224,244,91.80327868852459,80,251,331,148,80,17,132,268,1716,-200
Anthony Parker,"G, F",361,878,41.11617312072893,136,365,37.26027397260274,109,151,72.18543046357617,43,313,356,338,105,17,130,174,967,-534
