personName,W,minutes
AJ Green,2,18.659823633156968
AJ Griffin,3,46.210630764163376
AJ Price,7,87.35765552348886
Aaron Brooks,10,168.633543177245
Aaron Gordon,11,314.05881137522675
Aaron Gray,5,55.85034080298786
Aaron Harrison,3,33.34166666666667
Aaron Holiday,10,172.2880490265907
Aaron Nesmith,8,152.74251558383136
Aaron Wiggins,6,118.75282702915682
Abdel Nader,7,84.03545093795094
Admiral Schofield,4,31.366137566137564
Adonis Thomas,2,13.883333333333333
Adreian Payne,4,36.29296296296297
Al Harrington,6,127.53951993805653
Al Horford,25,785.958919434388
Al Jefferson,8,219.97284933399817
Al Thornton,2,40.43148148148148
Al-Farouq Aminu,11,272.5306271810627
Alan Anderson,10,227.6686864623244
Alec Burks,22,499.32161526843987
Aleksej Pokusevski,12,201.79706349206347
Alen Smailagic,2,10.103333333333333
Alex Abrines,3,51.06108966108967
Alex Caruso,12,283.70293981481484
Alex Len,18,323.4227341517415
Alex Poythress,2,18.348095238095237
Alexey Shved,6,107.29400183150183
Alexis Ajinca,10,144.42978121551653
Alfonzo McKinnie,6,61.85144788544788
Alize Johnson,7,46.74666666666667
Allen Crabbe,14,288.1417771967721
Allonzo Trier,4,69.39960317460317
Alonzo Gee,12,226.7420554831671
Alperen Sengun,3,83.29204980842913
Amar'e Stoudemire,12,302.8307070707071
Amen Thompson,2,50.31387163561077
Amir Coffey,10,146.6062825743909
Amir Johnson,13,318.07199801524825
Anderson Varejao,9,180.4822759835194
Andray Blatche,6,136.60073523371398
Andre Drummond,15,398.3102945835886
Andre Iguodala,21,568.8102905791801
Andre Jackson Jr.,2,20.721990740740743
Andre Miller,9,177.3277350102098
Andre Roberson,11,214.0195402641684
Andrea Bargnani,8,222.06419295616664
Andrei Kirilenko,4,91.97798756798757
Andres Nocioni,2,19.576650563607085
Andrew Bogut,9,203.0133197042941
Andrew Bynum,5,131.6807268170426
Andrew Harrison,5,69.08770209838322
Andrew Nembhard,2,52.39404217479675
Andrew Nicholson,11,181.94642001244944
Andrew Wiggins,19,658.9214200365587
Andris Biedrins,3,50.68140756302521
Anfernee Simons,6,146.16555592992725
Antawn Jamison,4,99.78342818428183
Ante Zizic,3,32.77748778998779
Anthony Bennett,4,36.74583333333333
Anthony Black,1,16.152991452991454
Anthony Brown,2,36.17777777777778
Anthony Davis,18,612.0037326853558
Anthony Edwards,8,274.66707349419863
Anthony Gill,8,76.87337962962962
Anthony Lamb,3,43.76342592592593
Anthony Morrow,14,242.87989411625247
Anthony Parker,4,115.20847338935573
Anthony Randolph,5,47.7938232074439
Anthony Tolliver,16,270.39826578950493
Antonio Blakeney,2,30.22936507936508
Antonio McDyess,2,35.36259259259259
Archie Goodwin,5,67.03958333333334
Arinze Onuaku,3,2.627777777777778
Armoni Brooks,4,67.25488215488215
Arnett Moultrie,1,9.241666666666667
Aron Baynes,14,207.07850079604984
Arron Afflalo,14,405.20593046477853
Ashton Hagans,1,23.194444444444443
Ausar Thompson,1,28.078333333333337
Austin Daye,13,148.68420615933775
Austin Reaves,6,172.59193626184324
Austin Rivers,18,423.65588528371933
Avery Bradley,16,434.31106700731056
Axel Toupane,4,39.434259259259264
Ayo Dosunmu,3,83.64762601887601
Bam Adebayo,13,377.58320645245277
Baron Davis,3,74.90115740740741
Ben Gordon,5,101.03196207430341
Ben McLemore,16,292.1556212024459
Ben Sheppard,1,14.596354166666666
Ben Simmons,10,278.0086552075376
Ben Uzoh,2,28.664682539682545
Ben Wallace,4,82.65415204678362
Bennedict Mathurin,4,112.55027197802198
Beno Udrih,10,187.47872318174663
Bernard James,3,26.303799019607844
Bilal Coulibaly,2,53.55333333333333
Bismack Biyombo,16,303.6514754227254
Blake Griffin,17,496.2505646978747
Blake Wesley,2,34.33996101364522
Boban Marjanovic,11,93.30992251392283
Bobby Portis,20,445.32184321918675
Bogdan Bogdanovic,14,400.24564161580025
Bojan Bogdanovic,15,424.99038680285975
Bol Bol,6,58.72603968253968
Bones Hyland,4,70.99283391405343
Bonzie Colson,2,3.8125
Boris Diaw,14,330.6466630405485
Brad Miller,2,21.56076388888889
Brad Wanamaker,6,107.5014737654321
Bradley Beal,15,510.0986836064067
Brandan Wright,20,317.9663158263305
Brandin Podziemski,2,55.034188034188034
Brandon Bass,10,258.3488458219394
Brandon Boston Jr.,3,27.97098206804089
Brandon Clarke,9,197.4995902659171
Brandon Davies,3,26.727222222222224
Brandon Goodwin,4,41.91385155195682
Brandon Ingram,11,357.7084860919582
Brandon Jennings,10,261.6872318435159
Brandon Knight,12,317.5589631717261
Brandon Miller,2,67.86515151515152
Brandon Paul,1,6.996491228070176
Brandon Roy,2,52.26433333333333
Brandon Rush,11,225.68142251018594
Brandon Sampson,2,18.75
Brandon Williams,2,40.445
Brendan Haywood,4,68.14915258576549
Brian Bowen II,2,6.893333333333333
Brian Cardinal,2,15.479298048048047
Brian Roberts,6,83.09658390220889
Briante Weber,6,69.57103174603175
Brice Sensabaugh,1,14.877083333333333
Brodric Thomas,3,20.952916666666667
Brook Lopez,14,409.04782072595816
Bruce Brown,14,350.08206160454614
Bruno Caboclo,9,71.92490079365079
Bruno Fernando,10,92.00180438842203
Bryce Dejean-Jones,1,17.777083333333334
Bryce McGowens,4,61.282457912457915
Bryn Forbes,8,139.36184359387258
Buddy Hield,17,478.3689669800703
Byron Mullens,6,104.26423611111112
C.J. Watson,7,136.63993467088278
C.J. Williams,3,52.86027777777778
CJ Elleby,4,51.151041666666664
CJ McCollum,12,370.1862017544445
CJ Miles,20,399.856268478354
Cade Cunningham,3,103.16055555555556
Caleb Houstan,4,51.137301587301586
Caleb Martin,10,217.66932836682838
Caleb Swanigan,5,40.60019943019943
Cam Reddish,11,280.34213709130375
Cam Thomas,6,137.22487789987792
Cam Whitmore,2,27.922222222222224
Cameron Bairstow,2,6.054166666666667
Cameron Johnson,7,183.08687787503194
Cameron Payne,12,200.45622969689998
Caris LeVert,19,505.2526548862978
Carl Landry,9,190.2348717948718
Carlos Arroyo,2,33.44047619047619
Carlos Boozer,6,187.37774033935457
Carlos Delfino,6,170.53688530967943
Carmelo Anthony,13,425.57284637887847
Caron Butler,7,174.10042735042737
Carsen Edwards,3,50.424142857142854
Cartier Martin,10,144.92396825396827
Cason Wallace,2,40.35957825203252
Cassius Stanley,2,22.223333333333333
Cedi Osman,10,219.5583937338891
Chandler Hutchison,6,75.02708333333334
Chandler Parsons,8,218.99526367220605
Channing Frye,15,308.7896456815598
Charles Bassey,3,32.0439393939394
Charles Jenkins,3,32.14021367521367
Charlie Brown Jr.,5,46.60357142857143
Charlie Villanueva,6,82.22357567558717
Chase Budinger,11,209.95460193229275
Chasson Randle,5,75.91904761904763
Chauncey Billups,5,130.24696428571428
Chaundee Brown,1,20.833333333333332
Cheick Diallo,5,48.57097275436356
Chet Holmgren,1,29.414035087719295
Chimezie Metu,10,134.80352795977797
Chinanu Onuaku,1,10.175
Chris Andersen,12,178.64203781451624
Chris Bosh,9,308.07377755915724
Chris Boucher,13,200.0807946535215
Chris Chiozza,5,55.91746031746032
Chris Copeland,7,76.6553077342048
Chris Douglas-Roberts,6,101.49313492063492
Chris Duarte,6,106.72438697318007
Chris Duhon,3,51.246095008051526
Chris Johnson,12,145.0463336108336
Chris Kaman,7,145.71679254932516
Chris McCullough,3,15.904761904761905
Chris Paul,14,452.32309086751934
Chris Singleton,3,44.6366628959276
Chris Wilcox,6,104.24207180500659
Chris Wright,3,20.566666666666666
Christian Braun,4,70.31615401506706
Christian Eyenga,2,27.840000000000003
Christian Koloko,1,14.336781609195402
Christian Wood,10,218.84903513425573
Chuck Hayes,11,191.4444467787115
Chuma Okeke,7,150.71907096171802
Cleanthony Early,3,47.055
Clint Capela,12,277.4658145802953
Coby White,5,144.72047928610428
Cody Martin,9,171.65797245963913
Cody Zeller,17,347.12063106979133
Cole Aldrich,9,77.47524205793029
Cole Anthony,4,105.71956232301976
Collin Sexton,6,180.64819292003958
Corey Brewer,26,519.3785591926915
Corey Kispert,6,152.4543631187653
Corey Maggette,3,61.5334126984127
Cory Jefferson,2,12.766666666666666
Cory Joseph,14,282.2865364530815
Courtney Lee,19,438.8358181203516
Craig Brackins,1,4.366666666666666
Craig Porter Jr.,1,12.79
Cristiano Felicio,6,82.07003672850448
D'Angelo Russell,12,364.4985101373635
D.J. Augustin,17,381.9607268667017
D.J. Wilson,10,96.86452867383512
DJ White,5,61.181250000000006
DaJuan Summers,4,45.43333333333333
DaQuan Jeffries,6,47.15378787878788
Daequan Cook,5,56.43827614379085
Dahntay Jones,5,53.28410140584054
Daishen Nix,3,27.476868686868688
Dakari Johnson,1,5.767460317460317
Dakota Mathias,3,13.91
Dalano Banton,5,86.08050462226933
Dalen Terry,2,17.176575698505523
Damian Jones,11,127.00199874686717
Damian Lillard,12,428.75145722443
Damien Inglis,1,5.733333333333333
Damien Wilkins,5,63.795120772946866
Damion James,4,49.72380952380952
Damion Lee,6,127.75650309717383
Damjan Rudez,3,31.70522486772487
Damyean Dotson,9,154.85847222222225
Dan Gadzuric,4,29.597619047619048
Daniel Gafford,8,160.281056269251
Daniel Gibson,3,67.94912217412218
Daniel Hamilton,2,11.621428571428572
Daniel Orton,3,31.71113095238095
Daniel Theis,14,243.8522511897512
Danilo Gallinari,17,458.1736005164515
Danny Granger,7,178.06122751909336
Danny Green,21,471.0680624261886
Dante Cunningham,15,322.7483308098739
Dante Exum,11,212.10848944406723
Danuel House Jr.,11,249.49120486401188
Dario Saric,12,258.3902689861787
Darius Bazley,7,152.4254617446394
Darius Garland,5,168.18515966155908
Darius Miller,9,167.13699226699225
Darius Morris,8,88.54756313131313
Darko Milicic,2,40.15063492063492
Darnell Jackson,1,6.712037037037037
Darrell Arthur,10,166.14986891580642
Darren Collison,10,286.69795123581446
Darrun Hilliard,3,26.386771155830754
David Duke Jr.,5,49.14920634920635
David Lee,11,302.9414154004371
David Nwaba,8,156.89553807303807
David Roddy,5,66.50603632478632
David West,9,216.90628925167928
Davion Mitchell,3,60.181423443793705
Davis Bertans,13,208.58343887699806
Davon Reed,7,62.22578042328042
Day'Ron Sharpe,3,38.20168686868687
De'Aaron Fox,7,231.91464715839717
De'Andre Hunter,5,148.01783368678105
De'Anthony Melton,7,167.67072739491346
DeAndre Jordan,16,406.6586657579002
DeAndre Liggins,8,80.52202991452991
DeAndre' Bembry,13,234.82059113290092
DeJuan Blair,6,83.05539662933684
DeMar DeRozan,19,678.5053589165274
DeMarcus Cousins,17,477.9410142277772
DeMarre Carroll,13,246.6772218099402
DeQuan Jones,2,28.28076923076923
DeSagana Diop,3,37.93611111111112
DeShawn Stevenson,5,101.6100432900433
Dean Wade,5,81.319363222872
Deandre Ayton,7,222.77130941875862
Dejounte Murray,7,195.9306840810699
Delon Wright,12,259.2189705353372
Delonte West,2,41.81353846153846
Deng Adel,1,7.941666666666666
Deni Avdija,4,105.22369264069263
Dennis Schroder,13,354.24644510972337
Dennis Smith Jr.,9,188.79012218045114
Denzel Valentine,8,121.0528785103785
Dereck Lively II,1,23.433809523809522
Derek Fisher,6,127.78615820355199
Deron Williams,9,297.1666278369281
Derrick Brown,3,35.164632936507935
Derrick Favors,22,534.3830750152343
Derrick Jones Jr.,11,214.55667470890668
Derrick Rose,15,372.8985455831548
Derrick Walton Jr.,4,67.09315476190477
Derrick White,10,250.36319774532117
Derrick Williams,9,144.69494003641634
Desmond Bane,8,243.96437888198759
Devin Booker,10,336.96121193893805
Devin Ebanks,6,63.30984848484849
Devin Harris,11,257.93673125476244
Devin Vassell,8,213.2025968013468
Devontae Cacok,2,10.081666666666667
Devonte' Graham,7,163.8244875043415
Devyn Marble,2,24.28611111111111
Dewayne Dedmon,18,300.6820102716101
Dexter Pittman,4,20.944130434782608
Deyonta Davis,3,35.224682971014495
Dillon Brooks,12,322.88501660989385
Dion Waiters,12,307.31875856396687
Dirk Nowitzki,14,375.92557887185603
Domantas Sabonis,14,433.1916169426762
Dominic McGuire,7,93.32265114379085
Dominick Barlow,2,34.61238095238095
Dominique Jones,3,27.130555555555556
Donald Sloan,8,109.71353284708124
Donatas Motiejunas,8,131.92691370520316
Donovan Mitchell,7,235.82054598586285
Donte DiVincenzo,11,285.02703144754975
Donte Greene,2,28.444246031746033
Dorell Wright,5,114.5491853054353
Dorian Finney-Smith,15,402.8404091259176
Doug McDermott,15,308.091717014956
Dragan Bender,7,128.2512148426622
Draymond Green,21,589.1916078486685
Drew Eubanks,11,169.68083355229473
Drew Gooden,9,148.27432862475968
Dru Smith,3,30.681944444444444
Duane Washington Jr.,2,27.345016339869282
Duncan Robinson,11,253.42323693573692
Duop Reath,1,17.319607843137256
Dwayne Bacon,8,137.3007705026455
Dwight Howard,13,383.4034184127169
Dwight Powell,15,295.9448662183119
Dwyane Wade,10,298.6922650386167
Dyson Daniels,2,40.25990790255496
E'Twaun Moore,17,352.5459969396502
Earl Barron,8,93.58611111111111
Earl Clark,7,81.77164714714715
Earl Watson,4,63.124647809574284
Ed Davis,20,352.73010527411185
Eddie House,1,17.00854700854701
Eddy Curry,2,21.12638888888889
Edmond Sumner,7,96.77136363636363
Ekpe Udoh,11,193.30249319172114
Elfrid Payton,9,253.0036048601359
Elie Okobo,2,24.629503105590064
Elijah Hughes,3,17.870714285714286
Elijah Millsap,5,69.55870098039216
Elliot Williams,5,44.35213675213675
Elton Brand,10,191.52388894416333
Emeka Okafor,4,100.59373115848408
Emmanuel Mudiay,6,134.62631174476866
Enes Freedom,18,403.5445383539979
Eric Bledsoe,12,327.64207439782757
Eric Gordon,23,704.6201951615551
Eric Moreland,3,25.82673611111111
Eric Paschall,4,56.00985209235209
Erick Dampier,2,21.227447089947088
