personName,position,fieldGoalsMade,fieldGoalsAttempted,fieldGoalsPercentage,threePointersMade,threePointersAttempted,threePointersPercentage,freeThrowsMade,freeThrowsAttempted,freeThrowsPercentage,reboundsOffensive,reboundsDefensive,reboundsTotal,assists,steals,blocks,turnovers,foulsPersonal,points,plusMinusPoints
AJ Green,G,136,321,42.36760124610592,113,274,41.24087591240876,21,23,91.30434782608695,15,94,109,52,15,4,21,80,406,24
AJ Price,G,231,629,36.72496025437202,88,298,29.53020134228188,94,136,69.11764705882352,32,125,157,237,54,3,102,105,644,68
Aaron Brooks,G,391,1032,37.8875968992248,163,467,34.90364025695932,155,178,87.07865168539325,60,141,201,363,78,20,187,271,1100,-235
Aaron Gray,C,56,99,56.56565656565656,0,0,0.0,17,34,50.0,59,112,171,16,11,12,32,96,129,30
Aaron Holiday,"G, F",694,1678,41.35876042908224,281,747,37.61713520749665,241,283,85.15901060070671,65,370,435,575,164,48,247,410,1910,303
Aaron Nesmith,"F, G",567,1225,46.285714285714285,255,648,39.351851851851855,226,279,81.00358422939068,125,427,552,206,120,83,139,476,1615,-50
Adreian Payne,F,165,412,40.04854368932039,13,55,23.636363636363637,60,89,67.41573033707866,76,226,302,66,42,27,88,193,403,-337
Al Jefferson,C,346,679,50.95729013254786,0,4,0.0,95,121,78.51239669421489,105,316,421,87,35,39,54,191,787,-109
Al-Farouq Aminu,F,769,1739,44.220816561242096,75,257,29.18287937743191,370,507,72.97830374753451,438,1218,1656,343,292,148,398,557,1983,-548
Alec Burks,"G, F",545,1391,39.1804457225018,284,718,39.55431754874652,342,415,82.40963855421687,76,588,664,366,123,41,156,328,1716,180
Alex Caruso,"G, F",380,885,42.93785310734463,132,350,37.714285714285715,190,264,71.96969696969697,83,342,425,436,181,52,213,312,1082,409
Alexey Shved,"G, F",393,1077,36.49025069637883,145,472,30.720338983050848,249,333,74.77477477477478,77,256,333,414,96,48,225,180,1180,-149
Alexis Ajinca,"C, F",556,1071,51.91409897292251,0,6,0.0,218,268,81.34328358208955,319,719,1038,130,83,155,217,549,1330,-238
Alize Johnson,F,19,55,34.54545454545455,4,10,40.0,14,22,63.63636363636363,27,53,80,9,6,5,8,22,56,47
Allonzo Trier,"G, F",283,624,45.3525641025641,71,185,38.37837837837838,213,266,80.07518796992481,37,189,226,147,31,18,138,146,850,-276
Alonzo Gee,"F, G",132,255,51.76470588235295,17,60,28.333333333333332,44,66,66.66666666666666,60,185,245,72,63,13,55,169,325,-195
Alperen Sengun,C,1218,2306,52.818733738074584,81,285,28.421052631578945,615,872,70.52752293577981,563,1097,1660,788,205,184,500,683,3132,-543
Amar'e Stoudemire,"C, F",1819,3493,52.075579730890354,15,47,31.914893617021278,1058,1367,77.39575713240673,624,1311,1935,365,180,328,613,863,4711,-139
Amen Thompson,"G, F",239,446,53.58744394618834,8,58,13.793103448275861,106,155,68.38709677419355,148,261,409,163,78,38,90,141,592,45
