personName,position,fieldGoalsMade,fieldGoalsAttempted,fieldGoalsPercentage,threePointersMade,threePointersAttempted,threePointersPercentage,freeThrowsMade,freeThrowsAttempted,freeThrowsPercentage,reboundsOffensive,reboundsDefensive,reboundsTotal,assists,steals,blocks,turnovers,foulsPersonal,points,plusMinusPoints
Aaron Gordon,F,275,549,50.09107468123861,49,136,36.029411764705884,120,175,68.57142857142857,144,207,351,166,34,30,75,144,719,4
Aaron Holiday,F,22,40,55.00000000000001,10,18,55.55555555555556,3,6,50.0,4,4,8,20,7,1,6,14,57,-19
Aaron Nesmith,F,72,185,38.91891891891892,28,111,25.225225225225223,41,45,91.11111111111111,25,91,116,44,14,15,27,81,213,3
Al Horford,"F, C",782,1581,49.46236559139785,185,474,39.029535864978904,215,277,77.6173285198556,282,996,1278,542,135,197,219,366,1964,178
Al Jefferson,C,104,204,50.98039215686274,0,1,0.0,14,22,63.63636363636363,27,78,105,20,10,11,12,29,222,-162
Al-Farouq Aminu,F,155,357,43.417366946778714,70,179,39.10614525139665,72,97,74.22680412371135,83,210,293,56,34,34,58,97,452,-100
Alan Anderson,G,50,103,48.54368932038835,19,47,40.42553191489361,18,27,66.66666666666666,12,41,53,22,14,1,18,41,137,-6
Alex Caruso,G,71,174,40.804597701149426,29,96,30.208333333333332,26,32,81.25,19,48,67,79,29,20,39,78,197,58
Alex Len,C,15,23,65.21739130434783,0,0,0.0,9,13,69.23076923076923,11,20,31,3,1,3,8,23,39,-17
Alfonzo McKinnie,F,26,62,41.935483870967744,10,34,29.411764705882355,4,10,40.0,17,34,51,4,2,1,6,33,66,7
Allen Crabbe,G,51,102,50.0,20,50,40.0,15,22,68.18181818181817,5,42,47,18,10,2,8,33,137,-58
Amar'e Stoudemire,"C, F",72,158,45.56962025316456,1,1,100.0,58,77,75.32467532467533,33,62,95,13,12,10,43,65,203,-108
Amir Coffey,F,12,36,33.33333333333333,6,17,35.294117647058826,2,3,66.66666666666666,2,13,15,8,4,1,7,9,32,-27
Amir Johnson,"C, F",106,169,62.721893491124256,1,8,12.5,31,46,67.3913043478261,68,103,171,29,12,22,39,95,244,-169
Andre Drummond,C,77,151,50.993377483443716,0,2,0.0,30,70,42.857142857142854,54,101,155,12,16,17,32,49,184,-135
Andre Iguodala,"F, G",519,1113,46.63072776280324,166,462,35.93073593073593,200,357,56.022408963585434,153,533,686,533,179,82,182,319,1404,298
Andre Miller,G,115,257,44.74708171206226,15,34,44.11764705882353,60,77,77.92207792207793,34,60,94,114,16,1,54,60,305,-32
Andre Roberson,"G, F",64,136,47.05882352941176,19,55,34.54545454545455,11,41,26.82926829268293,43,91,134,23,35,36,18,61,158,15
Andrew Bogut,C,153,256,59.765625,0,3,0.0,22,55,40.0,150,333,483,109,36,93,77,218,328,69
Andrew Bynum,C,130,258,50.3875968992248,0,0,0.0,84,105,80.0,82,147,229,26,10,51,36,54,344,-55
Andrew Goudelock,G,21,45,46.666666666666664,3,12,25.0,2,2,100.0,1,7,8,3,5,0,7,8,47,-48
Andrew Nembhard,G,104,188,55.319148936170215,30,62,48.38709677419355,21,27,77.77777777777779,14,42,56,97,6,4,23,59,259,16
Andrew Wiggins,F,256,554,46.20938628158845,61,190,32.10526315789474,86,132,65.15151515151516,83,181,264,75,35,40,56,113,659,124
Anthony Davis,"F, C",600,1101,54.495912806539515,36,120,30.0,394,468,84.1880341880342,152,578,730,177,77,134,146,180,1630,190
Anthony Edwards,"F, G",275,572,48.07692307692308,88,223,39.46188340807175,145,177,81.92090395480226,26,145,171,154,42,26,81,76,783,53
Antonio McDyess,C,15,36,41.66666666666667,0,0,0.0,4,7,57.14285714285714,10,20,30,8,2,5,7,21,34,-6
Aron Baynes,C,76,153,49.673202614379086,13,30,43.333333333333336,27,36,75.0,71,126,197,25,10,13,27,95,192,-68
Arron Afflalo,G,44,120,36.666666666666664,8,36,22.22222222222222,19,24,79.16666666666666,5,36,41,28,5,2,15,30,115,-60
Austin Reaves,"G, F",129,277,46.57039711191336,49,125,39.2,69,77,89.6103896103896,27,73,100,96,17,7,31,50,376,57
Austin Rivers,"G, F",169,410,41.21951219512195,71,199,35.678391959798994,48,66,72.72727272727273,17,107,124,88,36,11,54,147,457,-143
Avery Bradley,G,188,448,41.964285714285715,53,170,31.176470588235293,46,59,77.96610169491525,29,93,122,61,46,11,56,86,475,-51
Ayo Dosunmu,G,8,26,30.76923076923077,3,13,23.076923076923077,1,1,100.0,4,9,13,11,1,0,3,5,20,-28
Bam Adebayo,C,486,929,52.31431646932185,2,18,11.11111111111111,258,338,76.33136094674556,181,496,677,256,63,48,170,222,1232,64
Baron Davis,G,11,23,47.82608695652174,4,14,28.57142857142857,5,5,100.0,0,3,3,13,0,0,13,15,31,-28
Ben Sheppard,G,32,76,42.10526315789473,20,54,37.03703703703704,7,9,77.77777777777779,11,44,55,18,8,1,13,34,91,22
Ben Simmons,"G, C",192,336,57.14285714285714,0,2,0.0,89,171,52.046783625730995,64,209,273,255,47,30,103,118,473,131
Bismack Biyombo,C,63,107,58.87850467289719,0,0,0.0,57,102,55.88235294117647,76,168,244,20,9,41,33,83,183,-45
Blake Griffin,"C, F",477,970,49.17525773195876,29,77,37.66233766233766,255,349,73.06590257879655,132,393,525,238,68,53,141,227,1238,40
Boban Marjanovic,C,70,125,56.00000000000001,0,4,0.0,40,48,83.33333333333334,37,83,120,23,3,8,26,50,180,-18
Bobby Portis,F,206,446,46.18834080717489,46,144,31.944444444444443,47,64,73.4375,89,287,376,41,28,16,47,101,505,147
Bobby Simmons,F,5,9,55.55555555555556,1,4,25.0,0,0,0.0,0,1,1,0,0,0,1,7,11,8
Bogdan Bogdanovic,G,147,352,41.76136363636363,71,202,35.148514851485146,25,34,73.52941176470588,17,95,112,79,36,11,34,78,390,37
Bojan Bogdanovic,"F, G",232,551,42.10526315789473,108,281,38.43416370106761,114,142,80.28169014084507,28,191,219,76,36,4,71,116,686,-69
Boris Diaw,"F, C",219,449,48.775055679287306,44,114,38.59649122807017,72,97,74.22680412371135,79,228,307,209,43,21,86,146,554,264
Bradley Beal,"G, F",415,936,44.337606837606835,113,320,35.3125,195,236,82.62711864406779,59,159,218,193,72,28,125,130,1138,-82
Brandon Bass,F,119,265,44.905660377358494,0,0,0.0,89,102,87.25490196078431,50,129,179,34,21,19,30,78,327,-105
Brandon Ingram,F,80,190,42.10526315789473,13,37,35.13513513513514,58,68,85.29411764705883,6,55,61,53,8,8,34,21,231,-38
Brandon Jennings,G,31,95,32.631578947368425,8,43,18.6046511627907,22,28,78.57142857142857,6,22,28,40,11,1,20,19,92,-93
Brendan Haywood,C,22,46,47.82608695652174,0,0,0.0,25,51,49.01960784313725,41,45,86,5,3,20,15,56,69,30
Brook Lopez,C,480,929,51.66846071044133,91,273,33.33333333333333,187,227,82.37885462555066,181,330,511,75,56,147,101,214,1238,96
Bruce Brown,"G, F",156,306,50.98039215686274,27,87,31.03448275862069,65,77,84.4155844155844,45,123,168,76,36,18,45,104,404,48
Bryn Forbes,G,90,221,40.723981900452486,56,149,37.58389261744966,27,35,77.14285714285715,5,60,65,25,4,4,14,45,263,-23
C.J. Watson,G,94,259,36.293436293436294,27,86,31.3953488372093,47,67,70.1492537313433,11,73,84,95,34,2,39,70,262,-97
CJ McCollum,G,526,1216,43.256578947368425,152,417,36.45083932853717,160,209,76.55502392344498,54,246,300,211,59,34,142,169,1364,-227
CJ Miles,"G, F",53,133,39.849624060150376,26,81,32.098765432098766,17,21,80.95238095238095,14,42,56,13,10,5,14,40,149,-53
Caleb Martin,"G, F",164,337,48.6646884272997,65,166,39.1566265060241,36,46,78.26086956521739,46,138,184,50,33,11,37,90,429,-6
Cameron Johnson,"F, G",129,264,48.86363636363637,67,161,41.61490683229814,61,71,85.91549295774648,28,107,135,47,27,6,32,69,386,-68
Cameron Payne,G,145,369,39.295392953929536,52,155,33.5483870967742,23,31,74.19354838709677,8,92,100,132,30,21,58,98,365,-33
Caris LeVert,"G, F",139,326,42.63803680981595,42,121,34.710743801652896,65,95,68.42105263157895,28,87,115,94,22,10,44,42,385,-137
