teamName,season_year,minutes,wins
76ers,2010-11,19824.35,41
76ers,2011-12,15876.516666666666,35
76ers,2012-13,19755.216666666667,34
76ers,2013-14,19163.35,19
76ers,2014-15,19539.616666666665,18
76ers,2015-16,19805.116666666665,10
76ers,2016-17,19565.283333333333,28
76ers,2017-18,19695.45,52
76ers,2018-19,19765.633333333335,51
76ers,2019-20,17335.583333333332,43
76ers,2020-21,17323.0,49
76ers,2021-22,19729.866666666665,51
76ers,2022-23,19838.116666666665,54
76ers,2023-24,19262.383333333335,47
Bobcats,2010-11,19367.083333333332,34
Bobcats,2011-12,15197.15,7
Bobcats,2012-13,19480.516666666666,21
Bobcats,2013-14,19660.566666666666,43
Bucks,2010-11,18962.583333333332,35
Bucks,2011-12,15826.316666666668,31
Bucks,2012-13,19549.85,38
Bucks,2013-14,19855.833333333332,15
Bucks,2014-15,19930.25,41
Bucks,2015-16,19830.2,33
Bucks,2016-17,19780.066666666666,42
Bucks,2017-18,19771.766666666666,44
Bucks,2018-19,19746.0,60
Bucks,2019-20,17595.25,56
Bucks,2020-21,17298.616666666665,46
Bucks,2021-22,19510.216666666667,51
Bucks,2022-23,19830.266666666666,58
Bucks,2023-24,19702.566666666666,49
Bulls,2010-11,19742.283333333333,62
Bulls,2011-12,15818.116666666667,50
Bulls,2012-13,19794.416666666668,45
Bulls,2013-14,19848.7,48
Bulls,2014-15,19880.316666666666,50
Bulls,2015-16,19905.316666666666,42
Bulls,2016-17,19780.266666666666,41
Bulls,2017-18,19718.366666666665,27
Bulls,2018-19,19905.25,22
Bulls,2019-20,15563.516666666666,22
Bulls,2020-21,17273.683333333334,31
Bulls,2021-22,19441.116666666665,46
Bulls,2022-23,19820.466666666667,40
Bulls,2023-24,19548.583333333332,39
Cavaliers,2010-11,19755.283333333333,19
Cavaliers,2011-12,15292.933333333332,21
Cavaliers,2012-13,18460.583333333332,24
Cavaliers,2013-14,19873.716666666667,33
Cavaliers,2014-15,19696.85,53
Cavaliers,2015-16,19759.916666666668,57
Cavaliers,2016-17,19470.5,51
Cavaliers,2017-18,19490.35,50
Cavaliers,2018-19,19540.3,19
Cavaliers,2019-20,15702.1,19
Cavaliers,2020-21,16656.233333333334,22
Cavaliers,2021-22,19189.033333333333,44
Cavaliers,2022-23,19785.6,51
Cavaliers,2023-24,19573.166666666668,48
Celtics,2010-11,19780.166666666668,56
Celtics,2011-12,15600.116666666667,39
Celtics,2012-13,19246.6,41
Celtics,2013-14,19597.933333333334,25
Celtics,2014-15,19523.416666666668,40
Celtics,2015-16,19575.466666666667,48
Celtics,2016-17,19518.166666666668,53
Celtics,2017-18,19752.283333333333,55
Celtics,2018-19,19780.25,49
Celtics,2019-20,17300.183333333334,48
Celtics,2020-21,17380.216666666667,36
Celtics,2021-22,19873.666666666668,51
Celtics,2022-23,19878.1,57
Celtics,2023-24,19435.266666666666,64
Clippers,2010-11,18061.266666666666,32
Clippers,2011-12,15215.533333333333,40
Clippers,2012-13,19730.283333333333,56
Clippers,2013-14,19755.433333333334,57
Clippers,2014-15,19574.15,56
Clippers,2015-16,19623.1,53
Clippers,2016-17,19721.833333333332,51
Clippers,2017-18,19667.266666666666,42
Clippers,2018-19,19815.416666666668,48
Clippers,2019-20,17315.8,49
Clippers,2020-21,17014.7,47
Clippers,2021-22,19778.75,42
Clippers,2022-23,19706.433333333334,44
Clippers,2023-24,19283.05,51
Grizzlies,2010-11,19493.883333333335,46
Grizzlies,2011-12,15343.3,41
Grizzlies,2012-13,19659.65,56
Grizzlies,2013-14,19643.766666666666,50
Grizzlies,2014-15,19615.333333333332,55
Grizzlies,2015-16,19438.333333333332,42
Grizzlies,2016-17,19905.2,43
Grizzlies,2017-18,19066.966666666667,22
Grizzlies,2018-19,19847.55,33
Grizzlies,2019-20,17059.366666666665,34
Grizzlies,2020-21,17247.566666666666,38
Grizzlies,2021-22,19680.883333333335,56
Grizzlies,2022-23,19498.633333333335,51
Grizzlies,2023-24,19328.2,27
Hawks,2010-11,18974.0,44
Hawks,2011-12,15494.5,40
Hawks,2012-13,19742.1,44
Hawks,2013-14,19776.05,38
Hawks,2014-15,19730.3,60
Hawks,2015-16,19362.716666666667,48
Hawks,2016-17,19836.383333333335,43
Hawks,2017-18,19140.0,24
Hawks,2018-19,19807.633333333335,29
Hawks,2019-20,16280.316666666668,20
Hawks,2020-21,17405.133333333335,41
Hawks,2021-22,19564.633333333335,43
Hawks,2022-23,19785.333333333332,41
Hawks,2023-24,19461.083333333332,36
Heat,2010-11,19780.233333333334,58
Heat,2011-12,16040.216666666667,46
Heat,2012-13,19840.016666666666,66
Heat,2013-14,19880.2,54
Heat,2014-15,19708.533333333333,37
Heat,2015-16,19830.233333333334,48
Heat,2016-17,19780.183333333334,41
Heat,2017-18,19918.783333333333,44
Heat,2018-19,19713.95,39
Heat,2019-20,17371.333333333332,44
Heat,2020-21,17297.383333333335,40
Heat,2021-22,19453.5,53
Heat,2022-23,19740.116666666665,44
Heat,2023-24,19652.9,46
Hornets,2010-11,19223.5,46
Hornets,2011-12,15623.45,21
Hornets,2012-13,19780.166666666668,27
Hornets,2014-15,19831.95,33
Hornets,2015-16,19855.1,48
Hornets,2016-17,19804.95,36
Hornets,2017-18,19732.283333333333,36
Hornets,2018-19,19805.683333333334,39
Hornets,2019-20,15716.65,23
Hornets,2020-21,17301.966666666667,33
Hornets,2021-22,19501.166666666668,43
Hornets,2022-23,18716.716666666667,27
Hornets,2023-24,18549.183333333334,21
Jazz,2010-11,19792.616666666665,39
Jazz,2011-12,16134.766666666666,36
Jazz,2012-13,19827.983333333334,43
Jazz,2013-14,18459.683333333334,25
Jazz,2014-15,19428.616666666665,38
Jazz,2015-16,19867.4,40
Jazz,2016-17,19702.566666666666,51
Jazz,2017-18,19737.783333333333,48
Jazz,2018-19,19671.216666666667,50
Jazz,2019-20,16852.933333333334,44
Jazz,2020-21,17069.666666666668,52
Jazz,2021-22,19639.933333333334,49
Jazz,2022-23,19713.833333333332,37
Jazz,2023-24,19428.8,31
Kings,2010-11,19824.0,24
Kings,2011-12,15458.433333333332,22
Kings,2012-13,19798.683333333334,28
Kings,2013-14,19747.0,28
Kings,2014-15,19812.5,29
Kings,2015-16,19780.9,33
Kings,2016-17,19525.266666666666,32
Kings,2017-18,19444.7,27
Kings,2018-19,19724.15,39
Kings,2019-20,17194.283333333333,31
Kings,2020-21,16700.933333333334,31
Kings,2021-22,19626.95,30
Kings,2022-23,19787.383333333335,48
Kings,2023-24,19087.033333333333,46
Knicks,2010-11,19427.583333333332,42
Knicks,2011-12,15717.15,36
Knicks,2012-13,19434.2,54
Knicks,2013-14,19480.85,37
Knicks,2014-15,19621.983333333334,17
Knicks,2015-16,19805.216666666667,32
Knicks,2016-17,19855.116666666665,31
Knicks,2017-18,19590.65,29
Knicks,2018-19,19684.383333333335,17
Knicks,2019-20,15965.083333333334,21
Knicks,2020-21,17362.1,41
Knicks,2021-22,19767.933333333334,37
Knicks,2022-23,19947.3,47
Knicks,2023-24,19682.416666666668,50
Lakers,2010-11,19046.816666666666,57
Lakers,2011-12,15582.033333333333,41
Lakers,2012-13,19743.383333333335,45
Lakers,2013-14,19693.75,27
Lakers,2014-15,19807.416666666668,21
Lakers,2015-16,19730.1,17
Lakers,2016-17,19705.1,26
Lakers,2017-18,19830.4,35
Lakers,2018-19,19746.433333333334,37
Lakers,2019-20,17065.133333333335,52
Lakers,2020-21,17399.383333333335,42
Lakers,2021-22,19938.133333333335,33
Lakers,2022-23,19839.016666666666,43
Lakers,2023-24,19500.866666666665,47
Magic,2010-11,19480.516666666666,52
Magic,2011-12,15767.933333333332,37
Magic,2012-13,19482.75,20
Magic,2013-14,19260.3,23
Magic,2014-15,19755.216666666667,25
Magic,2015-16,19878.316666666666,35
Magic,2016-17,19499.2,29
Magic,2017-18,19730.166666666668,25
Magic,2018-19,19092.633333333335,42
Magic,2019-20,17187.516666666666,33
Magic,2020-21,16691.566666666666,21
Magic,2021-22,19420.05,22
Magic,2022-23,19323.05,34
Magic,2023-24,19542.883333333335,47
Mavericks,2010-11,19705.266666666666,57
Mavericks,2011-12,15982.25,36
Mavericks,2012-13,19967.233333333334,41
Mavericks,2013-14,19797.166666666668,49
Mavericks,2014-15,19869.433333333334,50
Mavericks,2015-16,20005.25,42
Mavericks,2016-17,19261.416666666668,33
Mavericks,2017-18,19463.266666666666,24
Mavericks,2018-19,19679.733333333334,33
Mavericks,2019-20,18101.166666666668,43
Mavericks,2020-21,17084.566666666666,42
Mavericks,2021-22,19692.55,52
Mavericks,2022-23,19820.65,38
Mavericks,2023-24,19338.65,50
Nets,2010-11,19794.683333333334,24
Nets,2011-12,15582.983333333334,22
Nets,2012-13,19732.3,49
Nets,2013-14,19742.6,44
Nets,2014-15,19547.2,38
Nets,2015-16,19755.35,21
Nets,2016-17,19755.133333333335,20
Nets,2017-18,19577.533333333333,28
Nets,2018-19,19871.7,42
Nets,2019-20,16808.65,35
Nets,2020-21,17377.333333333332,48
Nets,2021-22,19755.2,44
Nets,2022-23,19690.0,45
Nets,2023-24,19781.283333333333,32
Nuggets,2010-11,19507.9,50
Nuggets,2011-12,16040.15,38
Nuggets,2012-13,19905.283333333333,57
Nuggets,2013-14,19755.2,36
Nuggets,2014-15,19867.083333333332,30
Nuggets,2015-16,19830.216666666667,33
Nuggets,2016-17,19755.116666666665,40
Nuggets,2017-18,19878.083333333332,46
Nuggets,2018-19,19578.683333333334,54
Nuggets,2019-20,17745.233333333334,46
Nuggets,2020-21,17468.266666666666,47
Nuggets,2021-22,19733.883333333335,48
Nuggets,2022-23,19689.166666666668,53
Nuggets,2023-24,18655.383333333335,57
Pacers,2010-11,18941.066666666666,37
Pacers,2011-12,15990.216666666667,42
Pacers,2012-13,19389.8,49
Pacers,2013-14,19780.25,56
Pacers,2014-15,19747.033333333333,38
Pacers,2015-16,19833.416666666668,45
